ID,Sample ,Species,Neighbours,Treatment,Type,C,N,DeltaC,DeltaN
A1,CCP6,Calamagrostis,Phragmites,Competition,Calamagrostis_Competition,47.3,1.19,-26.83,3.64
A2,CCP5CU,Calamagrostis,Phragmites,No_competition,Calamagrostis_No competition,45.7,1.6,-27.88,4.34
A3,CCP11,Calamagrostis,Phragmites,Competition,Calamagrostis_Competition,44.93,0.78,-28.77,1.14
A4,CCP7CU,Calamagrostis,Phragmites,No_competition,Calamagrostis_No competition,46.81,1.86,-27.01,0.16
A6,CCP4,Calamagrostis,Phragmites,Competition,Calamagrostis_Competition,45.339,0.415,-29.32,-0.47
A7,TYP6CU,Typha,Phragmites,No_competition,Typha_No competition,49.42,2.19,-30.14,2.7
A8,TYP2CU,Typha,Phragmites,No_competition,Typha_No competition,46.66,0.86,-28.65,0.62
A9,TYP4,Typha,Phragmites,Competition,Typha_Competition,48.31,2.2,-30.34,1.89
A10,TYP1,Typha,Phragmites,Competition,Typha_Competition,48.59,1.71,-29.51,1.47
A12,TYP5,Typha,Phragmites,Competition,Typha_Competition,48.015,1.576,-30.64,1.24
B1,TYP6,Typha,Phragmites,Competition,Typha_Competition,48.29,1.67,-30.79,1.35
B2,TYP3CU,Typha,Phragmites,No_competition,Typha_No competition,49.25,2.4,-29.41,2.7
B3,TYP1CU,Typha,Phragmites,No_competition,Typha_No competition,46.58,1.37,-28.61,2.47
B4,TYP5CU,Typha,Phragmites,No_competition,Typha_No competition,47.56,1.55,-29.29,1.7
B6,TYP2,Typha,Phragmites,Competition,Typha_Competition,51.026,2.887,-28.93,3.16
B7,CCP9CU,Calamagrostis,Phragmites,No_competition,Calamagrostis_No competition,47.83,1.88,-25.83,1.75
B8,CCP9,Calamagrostis,Phragmites,Competition,Calamagrostis_Competition,48.34,1.25,-28.93,2.12
B9,CCP10,Calamagrostis,Phragmites,Competition,Calamagrostis_Competition,48.46,1.1,-27.45,1.22
B10,CCP11CU,Calamagrostis,Phragmites,No_competition,Calamagrostis_No competition,49.91,1.49,-26.51,4.58
B11,CCP4CU,Calamagrostis,Phragmites,No_competition,Calamagrostis_No competition,48.077,1.975,-27.84,2.64
C1,CAP6CU,Carex,Phragmites,No_competition,Carex_No competition,47.7,1.32,-27.69,4.42
C2,CAP8,Carex,Phragmites,Competition,Carex_Competition,46.15,1.06,-28.75,2.53
C3,CAP3CU,Carex,Phragmites,No_competition,Carex_No competition,44.92,1.04,-27.26,2.47
C4,CAP12,Carex,Phragmites,Competition,Carex_Competition,45.83,0.79,-29.9,1.34
C6,CAP10,Carex,Phragmites,Competition,Carex_Competition,46.51,1.084,-29.4,2.5
C7,CAP7,Carex,Phragmites,Competition,Carex_Competition,46.01,0.6,-27.88,3.12
C8,CAP10CU,Carex,Phragmites,No_competition,Carex_No competition,46.45,1.53,-28.59,3.3
C9,CAP2CU,Carex,Phragmites,No_competition,Carex_No competition,44.75,0.86,-27.81,3.87
C10,CAP9CU,Carex,Phragmites,No_competition,Carex_No competition,46.64,0.66,-27.58,3.01
C12,CAP1,Carex,Phragmites,Competition,Carex_Competition,45.583,0.654,-28.11,2.5
D1,PCC5CU,Phragmites,Calamagrostis,No_competition,Phragmites_No competition,47,2.35,-25.2,3.74
D2,PCC5,Phragmites,Calamagrostis,Competition,Phragmites_Competition,46.17,1.77,-27.24,3.52
D3,PCC2,Phragmites,Calamagrostis,Competition,Phragmites_Competition,47.87,1.37,-27.73,4.22
D4,PCC6,Phragmites,Calamagrostis,Competition,Phragmites_Competition,46.94,1.8,-26.04,4.01
D5,PCC2CU,Phragmites,Calamagrostis,No_competition,Phragmites_No competition,47.07,2.69,-27.27,5.39
D7,PCC6CU,Phragmites,Calamagrostis,No_competition,Phragmites_No competition,46.337,2.042,-27.07,3.68
D8,PTY3CU,Phragmites,Typha,No_competition,Phragmites_No competition,45.05,3.06,-26.19,4.54
D9,PTY3,Phragmites,Typha,Competition,Phragmites_Competition,47.6,1.57,-26.42,4.12
D10,PTY5CU,Phragmites,Typha,No_competition,Phragmites_No competition,47.78,1.91,-25.32,2.99
D11,PTY1,Phragmites,Typha,Competition,Phragmites_Competition,48.42,1.47,-27.14,4.91
D12,PTY1CU,Phragmites,Typha,No_competition,Phragmites_No competition,47.17,2.66,-26.85,5.04
E2,PTY4,Phragmites,Typha,Competition,Phragmites_Competition,47.003,2.349,-25.77,5.06
E3,PCA2CU,Phragmites,Carex,No_competition,Phragmites_No competition,46.81,2.83,-25.91,3.51
E4,PCA2,Phragmites,Carex,Competition,Phragmites_Competition,46.93,1.74,-27.1,3.46
E5,PCA6CU,Phragmites,Carex,No_competition,Phragmites_No competition,46.6,2.4,-27.58,4.42
E6,PCA6,Phragmites,Carex,Competition,Phragmites_Competition,48.33,1.92,-27.19,2.85
E7,PCA4,Phragmites,Carex,Competition,Phragmites_Competition,46.92,1.74,-26.67,2.47
E9,PCA4CU,Phragmites,Carex,No_competition,Phragmites_No competition,43.98,2.33,-25.59,4.54
