Pair,Site,Phytometer,spp_n,Competition,Year,Neighbour,Incident
1,PCC1CU,Phragmites,Phragmites_Calamagrostis,no,2017,Calamagrostis,100
1,PCC1,Phragmites,Phragmites_Calamagrostis,yes,2017,Calamagrostis,94
2,PCC2CU,Phragmites,Phragmites_Calamagrostis,no,2017,Calamagrostis,78
2,PCC2,Phragmites,Phragmites_Calamagrostis,yes,2017,Calamagrostis,86
3,PCC3CU,Phragmites,Phragmites_Calamagrostis,no,2017,Calamagrostis,99
3,PCC3,Phragmites,Phragmites_Calamagrostis,yes,2017,Calamagrostis,100
4,PCC4,Phragmites,Phragmites_Calamagrostis,yes,2017,Calamagrostis,92
4,PCC4CU,Phragmites,Phragmites_Calamagrostis,no,2017,Calamagrostis,103
5,PCC5CU,Phragmites,Phragmites_Calamagrostis,no,2017,Calamagrostis,86
5,PCC5,Phragmites,Phragmites_Calamagrostis,yes,2017,Calamagrostis,40
6,PCC6CU,Phragmites,Phragmites_Calamagrostis,no,2017,Calamagrostis,97
6,PCC6,Phragmites,Phragmites_Calamagrostis,yes,2017,Calamagrostis,87
21,PCC1,Phragmites,Phragmites_Calamagrostis,yes,2016,Calamagrostis,95
21,PCC1CU,Phragmites,Phragmites_Calamagrostis,no,2016,Calamagrostis,91
22,PCC2,Phragmites,Phragmites_Calamagrostis,yes,2016,Calamagrostis,97
23,PCC3,Phragmites,Phragmites_Calamagrostis,yes,2016,Calamagrostis,11
23,PCC3CU,Phragmites,Phragmites_Calamagrostis,no,2016,Calamagrostis,94
24,PCC4,Phragmites,Phragmites_Calamagrostis,yes,2016,Calamagrostis,93
24,PCC4CU,Phragmites,Phragmites_Calamagrostis,no,2016,Calamagrostis,91
25,PCC5,Phragmites,Phragmites_Calamagrostis,yes,2016,Calamagrostis,90
25,PCC5CU,Phragmites,Phragmites_Calamagrostis,no,2016,Calamagrostis,84
26,PCC6,Phragmites,Phragmites_Calamagrostis,yes,2016,Calamagrostis,43
26,PCC6CU,Phragmites,Phragmites_Calamagrostis,no,2016,Calamagrostis,85
1,PCA1CU,Phragmites,Phragmites_Carex,no,2017,Carex,99
1,PCA1,Phragmites,Phragmites_Carex,yes,2017,Carex,91
2,PCA2CU,Phragmites,Phragmites_Carex,no,2017,Carex,85
2,PCA2,Phragmites,Phragmites_Carex,yes,2017,Carex,59
3,PCA3CU,Phragmites,Phragmites_Carex,no,2017,Carex,98
3,PCA3,Phragmites,Phragmites_Carex,yes,2017,Carex,92
4,PCA4CU,Phragmites,Phragmites_Carex,no,2017,Carex,90
4,PCA4,Phragmites,Phragmites_Carex,yes,2017,Carex,92
5,PCA5CU,Phragmites,Phragmites_Carex,no,2017,Carex,90
6,PCA6CU,Phragmites,Phragmites_Carex,no,2017,Carex,76
6,PCA6,Phragmites,Phragmites_Carex,yes,2017,Carex,78
5,PCA5,Phragmites,Phragmites_Carex,yes,2017,Carex,100
21,PCA1,Phragmites,Phragmites_Carex,yes,2016,Carex,95
22,PCA2,Phragmites,Phragmites_Carex,yes,2016,Carex,8
23,PCA3,Phragmites,Phragmites_Carex,yes,2016,Carex,84
24,PCA4,Phragmites,Phragmites_Carex,yes,2016,Carex,96
26,PCA6,Phragmites,Phragmites_Carex,yes,2016,Carex,99
25,PCA5,Phragmites,Phragmites_Carex,yes,2016,Carex,97
21,PCA1CU,Phragmites,Phragmites_Carex,no,2016,Carex,88
22,PCA2CU,Phragmites,Phragmites_Carex,no,2016,Carex,96
23,PCA3CU,Phragmites,Phragmites_Carex,no,2016,Carex,89
24,PCA4CU,Phragmites,Phragmites_Carex,no,2016,Carex,90
26,PCA6CU,Phragmites,Phragmites_Carex,no,2016,Carex,96
1,PTY1CU,Phragmites,Phragmites_Typha,no,2017,Typha,94
1,PTY1,Phragmites,Phragmites_Typha,yes,2017,Typha,81
2,PTY2CU,Phragmites,Phragmites_Typha,no,2017,Typha,98
2,PTY2,Phragmites,Phragmites_Typha,yes,2017,Typha,96
3,PTY3,Phragmites,Phragmites_Typha,yes,2017,Typha,93
5,PTY5,Phragmites,Phragmites_Typha,yes,2017,Typha,97
4,PTY4CU,Phragmites,Phragmites_Typha,no,2017,Typha,93
4,PTY4,Phragmites,Phragmites_Typha,yes,2017,Typha,94
6,PTY6CU,Phragmites,Phragmites_Typha,no,2017,Typha,85
6,PTY6,Phragmites,Phragmites_Typha,yes,2017,Typha,84
21,PTY1,Phragmites,Phragmites_Typha,yes,2016,Typha,95
22,PTY2,Phragmites,Phragmites_Typha,yes,2016,Typha,96
23,PTY3,Phragmites,Phragmites_Typha,yes,2016,Typha,93
24,PTY4,Phragmites,Phragmites_Typha,yes,2016,Typha,100
25,PTY5,Phragmites,Phragmites_Typha,yes,2016,Typha,97
26,PTY6,Phragmites,Phragmites_Typha,yes,2016,Typha,98
21,PTY1CU,Phragmites,Phragmites_Typha,no,2016,Typha,100
22,PTY2CU,Phragmites,Phragmites_Typha,no,2016,Typha,97
23,PTY3CU,Phragmites,Phragmites_Typha,no,2016,Typha,83
24,PTY4CU,Phragmites,Phragmites_Typha,no,2016,Typha,97
25,PTY5CU,Phragmites,Phragmites_Typha,no,2016,Typha,98
26,PTY6CU,Phragmites,Phragmites_Typha,no,2016,Typha,99
