Species,PC1a,PC2a,PC3a
Carex,-0.557494498,-0.064558639,-0.027508852
Carex,-0.227678746,-0.095800467,-0.08466703
Carex,-0.015726615,-0.08486516,-0.026489331
Carex,-0.357870961,-0.103043847,-0.046291208
Carex,-0.170803051,-0.021697027,-0.066629655
Carex,-0.360356163,-0.047094879,0.029070231
Carex,-0.196696398,-0.033733364,0.038486563
Carex,0.061168404,-0.013161,0.051396036
Carex,0.120569653,0.006778269,-0.007885019
Carex,0.115920878,-0.09236844,-0.023145363
Carex,0.047250781,-0.011693014,0.054160479
Carex,0.060061292,0.063950515,-0.073582312
Carex,0.041115502,-0.018119184,0.032537843
Carex,-0.312849937,-0.010957862,-0.029658904
Carex,-0.628670296,-0.041136409,0.033961534
Typha,0.518065005,0.054539732,-0.010343015
Typha,0.724186779,0.032691595,-0.026677267
Typha,0.918186513,0.041970595,-0.024688401
Typha,0.090295239,-0.004849844,0.013801545
Typha,0.030247757,0.024605991,-0.0048054
Typha,0.740328824,0.071345333,-0.045018946
Typha,0.788562058,0.017888234,-0.078125963
Typha,0.718439567,-0.109198293,-0.01084117
Typha,0.769680779,0.072990465,0.011131734
Typha,0.107040695,-0.023670714,0.034163467
Typha,0.872957414,-0.064550194,0.112919383
Typha,0.854116664,3.96982E-05,-0.016033693
Typha,0.395483397,-0.047593463,-0.033274818
Typha,0.918182085,-0.067552583,0.006006965
Typha,0.757587679,0.051780775,-0.057180611
Phragmites,0.239585475,0.106444778,0.060876252
Phragmites,-0.412853934,0.085332353,0.146121584
Phragmites,0.065047774,0.082760861,0.125662164
Phragmites,0.541804781,-0.049287977,0.054817414
Phragmites,0.195649275,0.036277217,-0.005078886
Phragmites,-0.451336062,-0.048808707,0.033914673
Phragmites,0.13168168,-0.064112647,0.053510395
Phragmites,0.51189928,-0.024999245,-0.043976522
Phragmites,-0.609228693,-0.038456829,0.043691662
Phragmites,0.380679743,0.010941687,0.019347878
Phragmites,-0.005054348,-0.104434602,-0.004116168
Phragmites,-0.051528726,-0.040487453,0.041606108
Phragmites,0.136911756,0.021175947,-0.003177312
Phragmites,-0.063891339,0.002375336,0.044968569
Phragmites,-0.290211273,-0.049694658,0.051191842
Calamagrostis,-0.367721491,0.032498177,-0.04285782
Calamagrostis,-0.382914336,0.053881816,-0.054700487
Calamagrostis,-0.504907933,0.011097207,-0.061457118
Calamagrostis,-0.443553722,0.033228737,-0.038983438
Calamagrostis,-0.558018281,0.063917092,-0.001050512
Calamagrostis,-0.562296781,0.040004788,-0.016957761
Calamagrostis,-0.702428317,0.014212645,-0.007478908
Calamagrostis,-0.685787007,-0.001819878,-0.018177663
Calamagrostis,-0.67944992,-0.025233205,-0.008479582
Calamagrostis,-0.677806636,-0.038978273,-0.002544409
Calamagrostis,-0.318670349,0.098417349,0.008432964
Calamagrostis,-0.468967149,0.062159895,-0.034852013
Calamagrostis,-0.286785119,0.121568777,-0.002516581
Calamagrostis,-0.259334646,0.072603742,-0.01741332
Calamagrostis,-0.241814004,0.054478248,-0.045111826
