Vegetation ,Species,Moisture,Cu,Fe,Mn,P ,Mg ,K ,pH,Zn ,C,TN,Na,Ca,S,Light
Carex1,Carex,789000,1.21,69.1,23,11,67,24,7.2,3.16,21700,300,29.3,3752,330,16.1
Carex2,Carex,782000,1.87,122,36.7,13,98,53,7.3,4.4,47200,900,37.8,4099,590,86.2
Carex3,Carex,769000,1.52,121,48.3,16,110,57,7.2,3.99,91800,5600,24.2,5693,810,23.9
Carex4,Carex,809000,1.34,85.5,32.3,14,83,23,7.3,4.57,22500,700,76.3,3969,460,40.2
Carex5,Carex,830000,2.28,127,17.3,14,100,44,7.2,5.82,45100,2700,17.1,4807,750,14.3
Carex6,Carex,787000,1.04,69.2,26.8,15,76,40,7.1,3.19,30800,1000,55.3,3676,360,4.3
Carex7,Carex,753000,1.58,112,32.4,13,86,29,6.9,4.37,45100,2700,56.9,3812,510,4.3
Carex8,Carex,801000,2.52,216,62.8,16,110,54,6.5,6.58,55800,2000,37.9,4432,850,1
Carex9,Carex,857000,2.55,181,22.3,19,190,78,7.2,6.34,72600,4600,70.1,4718,890,2.8
Carex10,Carex,792000,2.29,195,69.2,21,92,51,6.6,5.72,76600,5500,40.6,4595,930,27.2
Carex11,Carex,701000,2.67,236,69.2,12,86,54,7,3.9,93300,5200,39.8,4912,840,2.6
Carex12,Carex,831000,8.35,140,18,19,100,63,6.8,6.85,80200,5000,21.4,4559,720,5.2
Carex13,Carex,794000,1.99,159,38.7,16,90,68,7,6.18,78800,3800,52.6,4689,790,2.1
Carex14,Carex,794000,1.6,80.3,12.7,14,91,30,7,6.14,45700,2300,18.3,3855,410,7.7
Carex15,Carex,785000,0.771,41.3,20.4,8,64,21,7.1,2.36,30800,600,17.6,3505,290,3
Typha1,Typha,828000,5.32,322,24.9,26,460,82,6.8,11.3,118800,6500,105,5869,2400,2.1
Typha2,Typha,798000,6.2,525,48.2,35,570,100,6.4,13.9,142200,11600,49.9,7331,2800,4.8
Typha3,Typha,845000,7.04,447,49.7,95,600,160,6.4,15.4,183900,14400,69.6,10010,2600,2.1
Typha4,Typha,803000,2.79,226,39.6,13,130,44,7.3,5.28,97500,4900,40,6064,1100,2.4
Typha5,Typha,851000,3.96,180,30.1,17,190,46,7,4.28,64000,3200,34.2,4828,800,1.8
Typha6,Typha,854000,7.97,434,30.7,37,540,120,6.7,24,141000,11400,78.2,6928,2500,2.1
Typha7,Typha,853000,9.33,504,45.2,39,690,140,6.3,10.4,146700,12100,84.7,7082,2600,16.8
Typha8,Typha,838000,2,238,82.9,40,300,120,6.6,8.54,217600,15200,74.1,13060,2800,18.7
Typha9,Typha,686000,5.6,342,21.8,30,460,200,6.6,15.5,163600,8200,271,7405,6800,4.4
Typha10,Typha,803000,2.71,264,43.3,15,110,37,6.9,3.18,97200,5000,62.6,5490,1000,3.1
Typha11,Typha,737000,1.07,598,85.3,41,630,200,5.4,4.45,214500,16700,114,7005,3400,3.4
Typha12,Typha,851000,5.27,473,90.8,30,610,270,6.4,19.1,172200,13600,68.1,6895,2900,3.8
Typha13,Typha,822000,3.33,353,41.4,22,180,60,6.7,7.09,135100,7300,62.2,7272,1800,17
Typha14,Typha,870000,2.58,700,83.6,35,430,190,6.4,11.7,248500,18700,94.8,12690,2800,6.6
Typha15,Typha,854000,7.92,378,35,59,460,160,6.8,12.9,153100,13300,65.2,8581,2500,3.8
Phragmites1,Phragmites,551000,3.69,222,16.9,25,230,55,6.8,6.11,104200,6500,55.8,5584,1900,1.9
Phragmites2,Phragmites,455000,1.1,72.6,18.6,8.8,110,29,7.3,1.83,56600,2300,37.6,3657,700,0.8
Phragmites3,Phragmites,490000,2.5,182,43.8,15,170,54,6.8,6.18,60500,3200,59.9,4566,1200,0.7
Phragmites4,Phragmites,807000,2.26,219,118,36,270,69,6.9,9.44,184100,11900,57.3,8260,1900,1.4
Phragmites5,Phragmites,852000,2.17,282,9.97,27,270,40,7,6.09,88300,5300,42.8,6684,1200,1.7
Phragmites6,Phragmites,868000,1.08,70.5,31.2,7.5,84,20,7.5,2.59,51200,2200,27.2,3747,410,1.9
Phragmites7,Phragmites,856000,3.34,188,202,16,130,39,6.6,4.94,61000,4000,37,4772,890,1.5
Phragmites8,Phragmites,850000,2.75,166,38.6,39,310,120,7,18.9,140500,9800,45,6959,1900,7.3
Phragmites9,Phragmites,862000,1.16,62.5,19.8,4.5,54,18,7.1,1.02,38100,1500,25.3,3193,360,2
Phragmites10,Phragmites,869000,3.88,313,40.1,31,320,44,6.4,6.59,75600,4500,58.1,5893,1800,1.4
Phragmites11,Phragmites,858000,1.15,146,65.5,13,150,50,7.4,3.9,88700,5900,46,4515,800,13
Phragmites12,Phragmites,859000,1.12,137,33.3,18,150,33,7,2.97,70000,4800,25.2,5097,910,1.6
Phragmites13,Phragmites,870000,3.84,220,20.3,17,180,45,6.7,4.24,65500,3700,55.6,5315,1400,2.5
Phragmites14,Phragmites,822000,1.78,131,23.2,15,180,59,6.6,2.99,46600,2100,46.6,3930,1100,1.5
Phragmites15,Phragmites,865000,1.28,106,33.2,9.3,90,25,7,2.13,46900,2300,49.2,3752,580,2
Calamagrostis1,Calamagrostis,735000,2.99,161.55,16.72,10.35,103.5,46.18,7.3,3.39,34000,1400,18.31,3105.1,380,8.7
Calamagrostis2,Calamagrostis,600000,3.25,146.3,12.3,12.3,106.56,46.72,7.4,3.33,36700,1300,19.67,3278.69,410,24.5
Calamagrostis3,Calamagrostis,685000,2.45,107.36,11.99,9.74,82.42,32.97,7.4,2.3,39800,1600,17.23,2772.23,350,28.8
Calamagrostis4,Calamagrostis,795000,3.21,101.64,13.36,9.43,78.62,36.95,7.3,2.27,37000,1600,17.3,3066.04,390,5.5
Calamagrostis5,Calamagrostis,801000,2.87,80.98,10.18,7.06,69.11,31.28,7.5,1.47,50400,2400,15.28,2618.82,290,1.1
Calamagrostis6,Calamagrostis,757000,2.52,84.08,11.86,8.89,74.11,26.68,7.5,1.68,38600,1400,16.3,2742.09,340,3.9
Calamagrostis7,Calamagrostis,697000,2.15,51.04,15.85,4.45,66.4,18.86,7.7,1.59,44200,2300,15.09,2640.85,270,7.7
Calamagrostis8,Calamagrostis,827000,1.93,56.16,13.62,8.81,54.49,19.23,7.3,1.68,26100,900,15.22,2644.23,290,4.6
Calamagrostis9,Calamagrostis,710000,1.43,62.7,19.05,5.72,51.83,22.1,7.5,1.67,36500,1600,18.29,2439.02,270,12.9
Calamagrostis10,Calamagrostis,766000,1.64,54.52,22.48,3.67,47.2,12.74,7.5,1.48,82800,5700,11.99,2322.68,240,10.2
Calamagrostis11,Calamagrostis,682000,4.04,121.33,11.87,11.87,94.94,44.3,7.2,2.59,43400,2100,22.94,3322.78,430,1.4
Calamagrostis12,Calamagrostis,768000,4.06,111.58,14.32,8.75,103.39,37.38,7.5,1.83,34500,1000,17.5,3181.34,340,3.5
Calamagrostis13,Calamagrostis,687000,5.33,146.17,13.51,12.67,118.24,46.45,7.4,2.67,37900,1300,20.27,3631.76,530,0.8
Calamagrostis14,Calamagrostis,785000,4.21,164.78,15.52,12.07,112.07,44.83,7.2,2.93,42300,1800,18.97,3448.28,490,1.6
Calamagrostis15,Calamagrostis,752000,4.17,155.23,14.69,12.24,122.42,45.7,7.3,3.35,52400,2700,21.22,3509.25,410,6.1
